Template,Element,PositionX,PositionY,Height,Width
arcgis_10_6_reference_landscape_bottom.mxd, timezone, 429.5232, 46.15, 3.153, 14.5108
arcgis_10_6_reference_landscape_bottom.mxd, legend, 230.2, 59.1, 7.86933067109, 22.7
arcgis_10_6_reference_landscape_bottom.mxd, map_no, 386.0, 282.0, 5.0, 14.0
arcgis_10_6_reference_landscape_bottom.mxd, map_version, 402.5, 282.0, 5.0, 7.5
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide4, 280.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide5, 340.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, glide_no, 365.5, 52.5, 4.0, 44.5
arcgis_10_6_reference_landscape_bottom.mxd, glide_no_label, 342.5, 52.5, 4.0, 22.5
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference, 365.5, 60.0, 4.0, 44.5
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference_label, 342.5, 58.5, 7.0, 22.5
arcgis_10_6_reference_landscape_bottom.mxd, mxd_name, 430.0, 55.0, 4.0, 44.5
arcgis_10_6_reference_landscape_bottom.mxd, mxd_name_label, 430.0, 60.0, 4.0, 22.5
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time, 365.5, 66.0, 4.0, 44.5
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time_label, 342.5, 66.0, 4.0, 22.5
arcgis_10_6_reference_landscape_bottom.mxd, horizontal_divide1, 282.5, 50.0, 0.0, 55.0
arcgis_10_6_reference_landscape_bottom.mxd, donor_credit, 342.5, 30.5, 7.0, 67.5
arcgis_10_6_reference_landscape_bottom.mxd, disclaimer, 342.5, 10.0, 10.0, 67.5
arcgis_10_6_reference_landscape_bottom.mxd, map_producer, 342.5, 40.5, 7.0, 67.5
arcgis_10_6_reference_landscape_bottom.mxd, scale, 297.0, 52.5, 3.153, 25.1038
arcgis_10_6_reference_landscape_bottom.mxd, scale_bar, 283.8, 61.2, 8.0442, 52.3261
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide3, 217.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide2, 148.5, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, country, 10.0, 42.0, 8.0, 65.0
arcgis_10_6_reference_landscape_bottom.mxd, title, 10.0, 10.0, 27.5, 67.5
arcgis_10_6_reference_landscape_bottom.mxd, mapaction_logo, 10.0, 50.0, 20.0, 49.2
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide1, 80.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, data_sources, 282.5, 10.0, 37.5, 55.0
arcgis_10_6_reference_landscape_bottom.mxd, north_arrow, 20.0, 80.0, 10.0000215983, 4.9
arcgis_10_6_reference_landscape_bottom.mxd, Location map, 152.75, 10.0, 60.0, 60.0
arcgis_10_6_reference_landscape_bottom.mxd, Main map, 15.0, 75.0, 207.0, 395.0
arcgis_10_6_reference_landscape_bottom.mxd, summary, 82.5, 10.0, 60.0, 63.5
arcgis_10_6_reference_landscape_bottom.mxd, working_space, 10.0, 10.0, 277.0, 400.0
arcgis_10_6_reference_landscape_side.mxd, scale, 26.5, 85.0, 3.153, 26.6734
arcgis_10_6_reference_landscape_side.mxd, timezone, -58.746, 52.684, 3.153, 14.5108
arcgis_10_6_reference_landscape_side.mxd, legend, 382.81215, 269.1176, 7.8824, 22.7377
arcgis_10_6_reference_landscape_side.mxd, glide_no, 33.0, 40.0, 4.0, 37.0
arcgis_10_6_reference_landscape_side.mxd, glide_no_label, 10.0, 40.0, 4.0, 22.5
arcgis_10_6_reference_landscape_side.mxd, spatial_reference, 33.0, 45.5, 4.0, 37.0
arcgis_10_6_reference_landscape_side.mxd, spatial_reference_label, 10.0, 44.0, 7.0, 22.5
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide5, 10.0, 57.5, 0.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide4, 10.0, 82.5, 0.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, scale_bar, 15.6, 89.9, 8.0355, 43.1398
arcgis_10_6_reference_landscape_side.mxd, mxd_name, -60.0, 42.5, 4.0, 54.5357
arcgis_10_6_reference_landscape_side.mxd, mxd_name_label, -60.0, 47.5, 4.0, 22.5
arcgis_10_6_reference_landscape_side.mxd, create_date_time, 33.0, 51.0, 4.0, 37.0
arcgis_10_6_reference_landscape_side.mxd, create_date_time_label, 10.0, 51.0, 4.0, 22.5
arcgis_10_6_reference_landscape_side.mxd, donor_credit, 10.0, 21.0, 10.5, 60.0
arcgis_10_6_reference_landscape_side.mxd, disclaimer, 10.0, 10.0, 10.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, map_producer, 10.0, 33.0, 7.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, Location map, 11.0, 103.25, 58.0, 58.0
arcgis_10_6_reference_landscape_side.mxd, country, 10.0, 257.0, 8.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, data_sources, 10.0, 60.0, 20.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, mapaction_logo, 10.0, 267.0, 20.0, 49.2
arcgis_10_6_reference_landscape_side.mxd, map_no, 386.0, 282.0, 5.0, 14.0
arcgis_10_6_reference_landscape_side.mxd, map_version, 402.5, 282.0, 5.0, 7.5
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide1, 10.0, 217.3236, 0.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide2, 10.0, 163.5, 0.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide3, 10.0, 101.0, 0.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, title, 10.0, 220.0, 33.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, north_arrow, 80.0, 20.0, 10.0000215983, 4.9
arcgis_10_6_reference_landscape_side.mxd, Main map, 75.0, 15.0, 267.0, 335.0
arcgis_10_6_reference_landscape_side.mxd, summary, 10.0, 166.0, 49.0, 60.0
arcgis_10_6_reference_landscape_side.mxd, working_space, 10.0, 10.0, 277.0, 400.0
arcgis_10_6_reference_portrait_bottom.mxd, scale, 240.0776, 57.5411, 3.153, 25.1038
arcgis_10_6_reference_portrait_bottom.mxd, timezone, 303.7343, 65.2626, 3.153, 14.5108
arcgis_10_6_reference_portrait_bottom.mxd, legend, 259.8, 387.1, 7.8824, 22.7377
arcgis_10_6_reference_portrait_bottom.mxd, horizontal_divide1, 82.5, 29.0, 0.0, 63.5
arcgis_10_6_reference_portrait_bottom.mxd, map_no, 263.0, 405.0, 5.0, 14.0
arcgis_10_6_reference_portrait_bottom.mxd, map_version, 279.5, 405.0, 5.0, 7.5
arcgis_10_6_reference_portrait_bottom.mxd, vertical_divide3, 217.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_portrait_bottom.mxd, vertical_divide2, 148.5, 10.0, 60.0, 0.0
arcgis_10_6_reference_portrait_bottom.mxd, vertical_divide1, 80.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_portrait_bottom.mxd, title, 10.0, 10.0, 27.5, 65.0
arcgis_10_6_reference_portrait_bottom.mxd, mapaction_logo, 10.0, 50.0, 20.0, 49.2
arcgis_10_6_reference_portrait_bottom.mxd, country, 10.0, 42.0, 8.0, 65.0
arcgis_10_6_reference_portrait_bottom.mxd, glide_no, 242.5, 40.0, 4.0, 44.5
arcgis_10_6_reference_portrait_bottom.mxd, glide_no_label, 219.5, 40.0, 4.0, 22.5
arcgis_10_6_reference_portrait_bottom.mxd, spatial_reference, 242.5, 45.5, 4.0, 44.5
arcgis_10_6_reference_portrait_bottom.mxd, spatial_reference_label, 219.5, 44.0, 7.0, 22.5
arcgis_10_6_reference_portrait_bottom.mxd, mxd_name, 302.0, 42.4951, 4.0, 44.5
arcgis_10_6_reference_portrait_bottom.mxd, mxd_name_label, 302.0, 47.5, 4.0, 22.5
arcgis_10_6_reference_portrait_bottom.mxd, create_date_time, 242.5, 51.0, 4.0, 44.5
arcgis_10_6_reference_portrait_bottom.mxd, create_date_time_label, 219.5, 51.0, 4.0, 22.5
arcgis_10_6_reference_portrait_bottom.mxd, horizontal_divide2, 287.0, 56.3086, 0.0, 67.5
arcgis_10_6_reference_portrait_bottom.mxd, donor_credit, 219.5, 20.5, 10.5, 67.5
arcgis_10_6_reference_portrait_bottom.mxd, disclaimer, 219.5, 10.0, 10.0, 67.5
arcgis_10_6_reference_portrait_bottom.mxd, map_producer, 219.5, 32.0, 7.0, 67.5
arcgis_10_6_reference_portrait_bottom.mxd, data_sources, 82.5, 10.0, 16.5, 63.5
arcgis_10_6_reference_portrait_bottom.mxd, Location map, 152.75, 10.0, 60.0, 60.0
arcgis_10_6_reference_portrait_bottom.mxd, scale_bar, 231.7, 61.2, 8.0492, 52.3544
arcgis_10_6_reference_portrait_bottom.mxd, north_arrow, 20.0, 80.0, 10.0, 4.9
arcgis_10_6_reference_portrait_bottom.mxd, Main map, 15.0, 75.0, 330.0, 272.0
arcgis_10_6_reference_portrait_bottom.mxd, summary, 82.5, 30.0, 40.0, 63.5
arcgis_10_6_reference_portrait_bottom.mxd, working_space, 10.0, 10.0, 400.0, 277.0
arcgis_10_6_thematic_landscape.mxd, create_date_time, -12.0, 11.0, 0.5, 5.0
arcgis_10_6_thematic_landscape.mxd, create_date_time_label, -18.0, 11.0, 0.5, 2.5
arcgis_10_6_thematic_landscape.mxd, timezone, -5.465, 11.0, 0.472900000001, 2.1766
arcgis_10_6_thematic_landscape.mxd, map_no, 38.5, 28.7, 0.5, 1.4003
arcgis_10_6_thematic_landscape.mxd, map_version, 40.2, 28.7, 0.5, 0.7502
arcgis_10_6_thematic_landscape.mxd, summary_label, -18.0, 18.9, 0.472899999999, 2.0704
arcgis_10_6_thematic_landscape.mxd, data_sources_label, -18.0, 12.5271, 0.472900000001, 2.8468
arcgis_10_6_thematic_landscape.mxd, mxd_name, -12.0, 9.5, 0.472900000001, 6.3072
arcgis_10_6_thematic_landscape.mxd, mxd_name_label, -18.0, 9.5271, 0.472900000001, 3.1279
arcgis_10_6_thematic_landscape.mxd, spatial_reference, -12.0, 8.5, 0.472900000001, 2.0706
arcgis_10_6_thematic_landscape.mxd, spatial_reference_label, -18.0, 8.5271, 0.472900000001, 3.8338
arcgis_10_6_thematic_landscape.mxd, scale, -12.0, 7.5, 0.472900000001, 3.7656
arcgis_10_6_thematic_landscape.mxd, scale_label, -18.0, 7.5271, 0.472900000001, 1.2473
arcgis_10_6_thematic_landscape.mxd, map_producer, -12.0, 4.9, 1.1, 10.0
arcgis_10_6_thematic_landscape.mxd, map_producer_label, -18.0, 5.5271, 0.472900000001, 2.9638
arcgis_10_6_thematic_landscape.mxd, donor_credit_label, -18.0, 4.0271, 0.472900000001, 2.6576
arcgis_10_6_thematic_landscape.mxd, title, 1.0, 27.3, 0.7, 36.0
arcgis_10_6_thematic_landscape.mxd, data_sources, -12.0, 11.6, 1.4, 10.0
arcgis_10_6_thematic_landscape.mxd, summary, -12.0, 16.2, 3.2, 10.3
arcgis_10_6_thematic_landscape.mxd, disclaimer, -18.0, 1.0, 1.0, 16.0
arcgis_10_6_thematic_landscape.mxd, glide_no, -12.0, 2.5, 0.5, 4.8014
arcgis_10_6_thematic_landscape.mxd, glide_no_label, -18.0, 2.5271, 0.472900000001, 2.8695
arcgis_10_6_thematic_landscape.mxd, donor_credit, -12.0, 3.4, 1.1, 10.0
arcgis_10_6_thematic_landscape.mxd, unused_map_elements, -17.7946, 26.9467, 1.7533, 15.5893
