MapName,Type,ElementName,PositionX,PositionY,Height,Width,FontSize,TextValue

arcmap-10.6_reference_landscape_bottom.mxd,country,TEXT_ELEMENT,60.0,279.5,7.5,90.0,18.0,Country: Emergency name
arcmap-10.6_reference_landscape_bottom.mxd,create_date_time,TEXT_ELEMENT,365.0,60.5,4.5,45.0,10.0,1 Jan 2016 / 12:00
arcmap-10.6_reference_landscape_bottom.mxd,create_date_time_label,TEXT_ELEMENT,340.0,60.5,4.5,25.0,10.0,Created
arcmap-10.6_reference_landscape_bottom.mxd,data_sources,TEXT_ELEMENT,270.0,32.5,12.0,65.0,10.0,<ITA>add data sources here (concise list)</ITA>
arcmap-10.6_reference_landscape_bottom.mxd,data_sources_label,TEXT_ELEMENT,270.0,43.0,5.0,65.0,10.0,<bol>Data Sources</bol>
arcmap-10.6_reference_landscape_bottom.mxd,disclaimer,TEXT_ELEMENT,270.0,10.0,11.0,65.0,9.0,The depiction and use of boundaries, names and associated data shown here do not imply endorsement or acceptance by MapAction.
arcmap-10.6_reference_landscape_bottom.mxd,donor_credit,TEXT_ELEMENT,340.0,10.0,11.0,68.5,9.0,Supported by UK Department for International Development and the Ministry of Foreign Affairs of the Netherlands
arcmap-10.6_reference_landscape_bottom.mxd,glide_no,TEXT_ELEMENT,365.0,40.0,4.5,45.0,10.0,XX_YYYY_XXXXXXX_CCC
arcmap-10.6_reference_landscape_bottom.mxd,glide_no_label,TEXT_ELEMENT,340.0,40.0,4.5,25.0,10.0,GLIDE Number
arcmap-10.6_reference_landscape_bottom.mxd,horizontal_divide1,GRAPHIC_ELEMENT,270.0,50.0,0.0,65.0
arcmap-10.6_reference_landscape_bottom.mxd,language,TEXT_ELEMENT,-50.0,40.0,4.5,30.0,10.0,English
arcmap-10.6_reference_landscape_bottom.mxd,language_label,TEXT_ELEMENT,-50.0,50.0,4.5,30.0,10.0,Language:
arcmap-10.6_reference_landscape_bottom.mxd,legend,LEGEND_ELEMENT,197.5,57.5,7.6309,39.6772
arcmap-10.6_reference_landscape_bottom.mxd,Location map,DATAFRAME_ELEMENT,15.0,10.0,55.0,110.0
arcmap-10.6_reference_landscape_bottom.mxd,Main map,DATAFRAME_ELEMENT,15.0,70.0,200.0,395.0
arcmap-10.6_reference_landscape_bottom.mxd,map_name,TEXT_ELEMENT,-50.0,20.0,4.5,50.0,10.0,(map_name) without MA part
arcmap-10.6_reference_landscape_bottom.mxd,map_name_label,TEXT_ELEMENT,-50.0,30.0,4.5,40.0,10.0,Map Document
arcmap-10.6_reference_landscape_bottom.mxd,map_no,TEXT_ELEMENT,387.5,282.0,5.0,22.5,12.0,MA010 v1
arcmap-10.6_reference_landscape_bottom.mxd,map_producer,TEXT_ELEMENT,340.0,23.5,11.0,50.0,9.0,Produced by MapAction mapaction.org country@mapaction.org
arcmap-10.6_reference_landscape_bottom.mxd,mapaction_logo,PICTURE_ELEMENT,15.0,272.0,15.0,36.9
arcmap-10.6_reference_landscape_bottom.mxd,mxd_name,TEXT_ELEMENT,-50.0,10.0,4.5,40.0,10.0,(mxd_name) without MA part
arcmap-10.6_reference_landscape_bottom.mxd,north_arrow,MAPSURROUND_ELEMENT,400.1,75.0,10.0000215983,4.9
arcmap-10.6_reference_landscape_bottom.mxd,qr_code,PICTURE_ELEMENT,367.5,272.0,15.0,15.0
arcmap-10.6_reference_landscape_bottom.mxd,qr_text,TEXT_ELEMENT,387.5,272.0,10.0,22.5,11.0,Scan for latest maps
arcmap-10.6_reference_landscape_bottom.mxd,scale,MAPSURROUND_ELEMENT,296.0,52.0,3.7931,19.3959
arcmap-10.6_reference_landscape_bottom.mxd,scale_bar,MAPSURROUND_ELEMENT,270.0,57.5,7.9235,32.5995
arcmap-10.6_reference_landscape_bottom.mxd,scale_label,TEXT_ELEMENT,270.0,51.3155,4.5,25.0,10.0,Scale (at A3):
arcmap-10.6_reference_landscape_bottom.mxd,spatial_reference,TEXT_ELEMENT,365.0,46.0,9.0,30.0,10.0,UTM Zone 32N / WGS 1984
arcmap-10.6_reference_landscape_bottom.mxd,spatial_reference_label,TEXT_ELEMENT,340.0,46.0,9.0,25.0,10.0,Projection & Datum
arcmap-10.6_reference_landscape_bottom.mxd,summary,TEXT_ELEMENT,127.5,10.0,55.0,65.0,12.0,Example: Map shows the extent of known flooding from satellite images on 1 Jan 2019. Affected population figures are from Government of Vulgaria Ministry of Health reports.
arcmap-10.6_reference_landscape_bottom.mxd,time_zone,TEXT_ELEMENT,365.0,56.5,4.5,25.0,10.0,UTC +06.00
arcmap-10.6_reference_landscape_bottom.mxd,title,TEXT_ELEMENT,60.0,271.5,7.5,200.0,16.0,Who What Where (3w): Displayed by Regions (as of 1 Jan 2019)
arcmap-10.6_reference_landscape_bottom.mxd,vertical_divide1,GRAPHIC_ELEMENT,195.0,10.0,55.0,0.0
arcmap-10.6_reference_landscape_bottom.mxd,vertical_divide2,GRAPHIC_ELEMENT,267.5,10.0,55.0,0.0
arcmap-10.6_reference_landscape_bottom.mxd,vertical_divide3,GRAPHIC_ELEMENT,337.5,10.0,55.0,0.0

arcmap-10.6_reference_landscape_side.mxd,country,TEXT_ELEMENT,80.0,280.0,7.0,90.0,18.0,Country: Emergency name
arcmap-10.6_reference_landscape_side.mxd,create_date_time,TEXT_ELEMENT,35.0,78.5,4.0,40.0,10.0,1 Jan 2016 / 12:00
arcmap-10.6_reference_landscape_side.mxd,create_date_time_label,TEXT_ELEMENT,10.0,78.5,4.0,25.0,10.0,Created
arcmap-10.6_reference_landscape_side.mxd,data_sources,TEXT_ELEMENT,10.0,87.5,12.0,63.5,10.0,<ITA>add data sources here (concise list)</ITA>
arcmap-10.6_reference_landscape_side.mxd,data_sources_label,TEXT_ELEMENT,10.0,99.5,4.0,63.5,10.0,Data sources:
arcmap-10.6_reference_landscape_side.mxd,disclaimer,TEXT_ELEMENT,10.0,15.0,11.0,63.5,9.0,The depiction and use of boundaries, names and associated data shown here do not imply endorsement or acceptance by MapAction.
arcmap-10.6_reference_landscape_side.mxd,donor_credit,TEXT_ELEMENT,10.0,27.5,15.0,65.0,9.0,Supported by DFID and the Ministry of Foreign Affairs of the Netherlands.
arcmap-10.6_reference_landscape_side.mxd,glide_no,TEXT_ELEMENT,35.0,58.5,4.0,40.0,10.0,XX_YYYY_XXXXXXX_CCC
arcmap-10.6_reference_landscape_side.mxd,glide_no_label,TEXT_ELEMENT,10.0,58.5,4.0,25.0,10.0,Glide Number
arcmap-10.6_reference_landscape_side.mxd,horizontal_divide1,GRAPHIC_ELEMENT,10.0,169.0,0.0,63.5
arcmap-10.6_reference_landscape_side.mxd,horizontal_divide2,GRAPHIC_ELEMENT,10.0,125.0,0.0,63.5
arcmap-10.6_reference_landscape_side.mxd,horizontal_divide3,GRAPHIC_ELEMENT,10.0,106.0,0.0,63.5
arcmap-10.6_reference_landscape_side.mxd,horizontal_divide4,GRAPHIC_ELEMENT,10.0,85.0,0.0,63.5
arcmap-10.6_reference_landscape_side.mxd,language,TEXT_ELEMENT,-50.0,40.0,4.0,20.0,10.0,English
arcmap-10.6_reference_landscape_side.mxd,language_label,TEXT_ELEMENT,-50.0,50.0,4.0,20.0,10.0,Language
arcmap-10.6_reference_landscape_side.mxd,legend,LEGEND_ELEMENT,10.0,158.8691,7.6309,39.6772
arcmap-10.6_reference_landscape_side.mxd,Location map,DATAFRAME_ELEMENT,10.0,224.0,46.0,63.5
arcmap-10.6_reference_landscape_side.mxd,Main map,DATAFRAME_ELEMENT,80.0,15.0,255.0,330.0
arcmap-10.6_reference_landscape_side.mxd,map_name,TEXT_ELEMENT,-50.0,10.0,4.0,40.0,10.0,(map_name) without MA part
arcmap-10.6_reference_landscape_side.mxd,map_name_label,TEXT_ELEMENT,-50.0,30.0,4.0,20.0,10.0,Map Document
arcmap-10.6_reference_landscape_side.mxd,map_no,TEXT_ELEMENT,387.5,282.0,5.0,22.5,12.0,MA010 v1
arcmap-10.6_reference_landscape_side.mxd,map_producer,TEXT_ELEMENT,10.0,45.0,11.0,50.0,9.0,Produced by MapAction mapaction.org country@mapaction.org
arcmap-10.6_reference_landscape_side.mxd,mapaction_logo,PICTURE_ELEMENT,10.0,272.0,15.0,36.9
arcmap-10.6_reference_landscape_side.mxd,mxd_name,TEXT_ELEMENT,-50.0,20.0,4.0,40.0,10.0,(mxd_name) without MA part
arcmap-10.6_reference_landscape_side.mxd,north_arrow,MAPSURROUND_ELEMENT,400.1,20.0,10.0000215983,4.9
arcmap-10.6_reference_landscape_side.mxd,qr_code,PICTURE_ELEMENT,367.5,272.0,15.0,15.0
arcmap-10.6_reference_landscape_side.mxd,qr_text,TEXT_ELEMENT,387.5,272.0,10.0,22.5,12.0,Scan for latest maps
arcmap-10.6_reference_landscape_side.mxd,scale,MAPSURROUND_ELEMENT,35.0,108.5224,3.7931,21.5663
arcmap-10.6_reference_landscape_side.mxd,scale_bar,MAPSURROUND_ELEMENT,10.0,115.0,7.8498,33.835
arcmap-10.6_reference_landscape_side.mxd,scale_label,TEXT_ELEMENT,10.0,108.5,3.8155,21.4716,10.0,Scale (at A3): 
arcmap-10.6_reference_landscape_side.mxd,spatial_reference,TEXT_ELEMENT,35.0,64.0,8.0,30.0,10.0,UTM Zone 32N / WGS 1984
arcmap-10.6_reference_landscape_side.mxd,spatial_reference_label,TEXT_ELEMENT,10.0,64.0,8.0,25.0,10.0,Projection & Datum
arcmap-10.6_reference_landscape_side.mxd,summary,TEXT_ELEMENT,10.0,171.5,50.0,63.5,12.0,Example: Map shows the extent of known flooding from satellite images on 1 Jan 2019. Affected population figures are from Government of Vulgaria Ministry of Health reports.
arcmap-10.6_reference_landscape_side.mxd,time_zone,TEXT_ELEMENT,35.0,74.5,4.0,20.0,10.0,UTC +/- 0
arcmap-10.6_reference_landscape_side.mxd,title,TEXT_ELEMENT,80.0,272.0,7.0,200.0,16.0,Who What Where (3w): Displayed by Regions (as of 1 Jan 2019)

arcmap-10.6_reference_portrait_bottom.mxd,country,TEXT_ELEMENT,60.0,403.0,7.0,90.0,18.0,Country: Emergency name
arcmap-10.6_reference_portrait_bottom.mxd,create_date_time,TEXT_ELEMENT,248.5,43.0,4.0,38.5,10.0,1 Jan 2016 / 12:00
arcmap-10.6_reference_portrait_bottom.mxd,create_date_time_label,TEXT_ELEMENT,223.5,43.0,4.0,25.0,10.0,Created
arcmap-10.6_reference_portrait_bottom.mxd,data_sources,TEXT_ELEMENT,169.5,43.0,17.0,50.0,10.0,<ITA>add data sources here (concise list)</ITA>
arcmap-10.6_reference_portrait_bottom.mxd,data_sources_label,TEXT_ELEMENT,169.5,60.0,5.0,50.0,10.0,<bol>Data Sources</bol>
